run_id,provisional_run_id,method,framework_config,seed,attack_strength,diversity_level,analysis_tier,is_dry_test,graph_nodes,false_campaign_alert_indicator,false_campaign_cluster_count,benign_vehicles_included,extra_cluster_count,incorrect_merging,fragmentation,false_campaign_alert_rate,campaign_precision,campaign_recall,campaign_f1,campaign_membership_precision,campaign_membership_recall,n_detected_campaign_clusters,n_ground_truth_campaigns,coordinated_events,expect_campaign,metric_name,within_model_attack_similarity,cross_model_attack_similarity,campaign_similarity,benign_cross_model_similarity,malicious_minus_benign_cross_sim,cross_model_edges,same_model_edges,cross_model_edge_percentage,feature_columns,cross_model_malicious_edges,cross_model_benign_edges,malicious_cross_model_edge_purity,benign_cross_model_false_edge_rate,connected_components,platforms_in_predicted_campaign,connected_platform_count,graph_connected_across_platforms,campaign_metrics_na
tuned_final_md_strong_d3_fcgnn_seed101_20260612T104749,final_md_strong_d3_fcgnn_seed101_20260612T104749,fcgnn,C3,101,strong,3,exploratory_mixed_attack,False,200,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,26,True,cosine_similarity_l2_normalized,0.9892794016852214,0.9804724095973771,0.8998612006880821,-0.12301650799167489,1.103488917589052,126,414,23.333333333333332,anomaly_score|frame_count|message_rate|burstiness|mean_inter_arrival_time|std_inter_arrival_time|can_id_entropy|most_common_can_id_ratio,43,30,0.3412698412698413,0.23809523809523808,17,0,0,True,False
tuned_final_md_strong_d3_fcgnn_seed11_20260612T104717,final_md_strong_d3_fcgnn_seed11_20260612T104717,fcgnn,C3,11,strong,3,exploratory_mixed_attack,False,200,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.8,1,1,34,True,cosine_similarity_l2_normalized,0.9991604971190573,0.9986385686602012,0.995119817729871,-0.10566997734723503,1.1043085460074362,148,560,20.903954802259886,anomaly_score|frame_count|message_rate|burstiness|mean_inter_arrival_time|std_inter_arrival_time|can_id_entropy|most_common_can_id_ratio,15,58,0.10135135135135136,0.3918918918918919,17,0,0,True,False
tuned_final_md_strong_d3_fcgnn_seed23_20260612T104720,final_md_strong_d3_fcgnn_seed23_20260612T104720,fcgnn,C3,23,strong,3,exploratory_mixed_attack,False,200,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,38,True,cosine_similarity_l2_normalized,0.9994244855640452,0.9991143047386707,0.9960781473436888,-0.10103250861957162,1.1001468133582424,216,449,32.4812030075188,anomaly_score|frame_count|message_rate|burstiness|mean_inter_arrival_time|std_inter_arrival_time|can_id_entropy|most_common_can_id_ratio,49,67,0.22685185185185186,0.3101851851851852,19,0,0,True,False
tuned_final_md_strong_d3_fcgnn_seed37_20260612T104724,final_md_strong_d3_fcgnn_seed37_20260612T104724,fcgnn,C3,37,strong,3,exploratory_mixed_attack,False,200,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,45,True,cosine_similarity_l2_normalized,0.9999892899186515,0.9998030081779774,0.9998549077379921,-0.08823152770223917,1.0880345358802166,185,494,27.245949926362297,anomaly_score|frame_count|message_rate|burstiness|mean_inter_arrival_time|std_inter_arrival_time|can_id_entropy|most_common_can_id_ratio,66,29,0.3567567567567568,0.15675675675675677,21,0,0,True,False
tuned_final_md_strong_d3_fcgnn_seed41_20260612T104728,final_md_strong_d3_fcgnn_seed41_20260612T104728,fcgnn,C3,41,strong,3,exploratory_mixed_attack,False,200,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,43,True,cosine_similarity_l2_normalized,0.9998012832007364,0.9997921361599252,0.9977616466143855,-0.12734437595835302,1.1271365121182781,184,503,26.78311499272198,anomaly_score|frame_count|message_rate|burstiness|mean_inter_arrival_time|std_inter_arrival_time|can_id_entropy|most_common_can_id_ratio,31,65,0.16847826086956522,0.3532608695652174,14,0,0,True,False
tuned_final_md_strong_d3_fcgnn_seed53_20260612T104731,final_md_strong_d3_fcgnn_seed53_20260612T104731,fcgnn,C3,53,strong,3,exploratory_mixed_attack,False,200,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,33,True,cosine_similarity_l2_normalized,0.9955412041222585,0.9872346747588111,0.8813267938409144,-0.09443440906778061,1.0816690838265917,89,452,16.45101663585952,anomaly_score|frame_count|message_rate|burstiness|mean_inter_arrival_time|std_inter_arrival_time|can_id_entropy|most_common_can_id_ratio,26,13,0.29213483146067415,0.14606741573033707,19,0,0,True,False
tuned_final_md_strong_d3_fcgnn_seed67_20260612T104735,final_md_strong_d3_fcgnn_seed67_20260612T104735,fcgnn,C3,67,strong,3,exploratory_mixed_attack,False,200,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,46,True,cosine_similarity_l2_normalized,0.9990394948008259,0.9987131206584539,0.9980545330316632,-0.09005218232732964,1.0887653029857836,181,442,29.052969502407706,anomaly_score|frame_count|message_rate|burstiness|mean_inter_arrival_time|std_inter_arrival_time|can_id_entropy|most_common_can_id_ratio,50,40,0.27624309392265195,0.22099447513812154,14,0,0,True,False
tuned_final_md_strong_d3_fcgnn_seed71_20260612T104738,final_md_strong_d3_fcgnn_seed71_20260612T104738,fcgnn,C3,71,strong,3,exploratory_mixed_attack,False,200,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.8,1,1,29,True,cosine_similarity_l2_normalized,0.9960180029869483,0.9880221068435828,0.9714925854739238,-0.12646938326000823,1.1144914901035912,80,538,12.944983818770227,anomaly_score|frame_count|message_rate|burstiness|mean_inter_arrival_time|std_inter_arrival_time|can_id_entropy|most_common_can_id_ratio,25,16,0.3125,0.2,19,0,0,True,False
tuned_final_md_strong_d3_fcgnn_seed83_20260612T104742,final_md_strong_d3_fcgnn_seed83_20260612T104742,fcgnn,C3,83,strong,3,exploratory_mixed_attack,False,200,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,40,True,cosine_similarity_l2_normalized,0.9995441906297572,0.997545884966475,0.9968121428909068,-0.054356072649701014,1.051901957616176,142,569,19.971870604781998,anomaly_score|frame_count|message_rate|burstiness|mean_inter_arrival_time|std_inter_arrival_time|can_id_entropy|most_common_can_id_ratio,34,37,0.23943661971830985,0.2605633802816901,21,0,0,True,False
tuned_final_md_strong_d3_fcgnn_seed97_20260612T104745,final_md_strong_d3_fcgnn_seed97_20260612T104745,fcgnn,C3,97,strong,3,exploratory_mixed_attack,False,200,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,48,True,cosine_similarity_l2_normalized,0.9999874536437628,0.9999840764345441,0.999988865237085,-0.102739023463579,1.1027230998981232,185,491,27.366863905325445,anomaly_score|frame_count|message_rate|burstiness|mean_inter_arrival_time|std_inter_arrival_time|can_id_entropy|most_common_can_id_ratio,65,29,0.35135135135135137,0.15675675675675677,14,0,0,True,False
